PID,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,BsmtFin SF 1,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Garage Cars,Yr Sold,SalePrice
527427230,5858,7,5,1999,1999,1051,1337,1,0,2,0,2,1,2,2010,184000
527451180,1680,6,5,1971,1971,156,987,0,0,1,1,2,1,1,2010,96000
527451330,1680,5,5,1971,1971,300,1092,0,0,1,1,3,1,1,2010,105500
527451410,1680,6,5,1971,1971,0,1092,0,0,1,1,3,1,1,2010,88000
527452190,4043,6,5,1977,1977,360,1069,0,0,2,0,2,1,2,2010,127500
527453130,2280,6,6,1975,1975,514,1456,0,0,2,1,3,1,2,2010,149900
527453150,2280,7,6,1975,1975,0,836,0,0,1,0,2,1,1,2010,120000
527454200,2280,6,5,1978,1978,311,1456,0,0,2,1,3,1,2,2010,146000
528108120,12858,9,5,2009,2010,0,2334,0,0,2,1,3,1,3,2010,376162
528112020,11478,8,5,2007,2008,1218,1704,1,0,2,0,3,1,3,2010,306000
528120060,10159,9,5,2009,2010,1646,1940,1,0,2,1,3,1,3,2010,395192
528120090,12883,8,5,2009,2010,0,1544,0,0,2,0,3,1,3,2010,290941
528120100,12182,7,5,2005,2005,1201,1541,0,0,2,0,3,1,2,2010,220000
528120120,11520,9,5,2005,2005,110,1698,0,0,2,0,3,1,3,2010,275000
528138020,14122,8,5,2005,2006,28,1822,0,0,2,0,3,1,3,2010,259000
528138060,10171,7,5,2004,2004,2,1535,0,0,2,0,3,1,2,2010,214000
528150070,12919,9,5,2009,2010,2188,2364,1,0,2,1,2,1,3,2010,611657
528175010,6371,7,5,2009,2010,733,1358,1,0,2,0,2,1,2,2010,224000
528176010,14300,9,5,2003,2004,1373,2696,1,0,2,1,3,1,3,2010,500000
528176070,13650,8,5,2002,2002,578,2250,1,0,2,1,3,1,3,2010,320000
528180070,7658,9,5,2005,2005,456,1752,1,0,2,0,2,1,2,2010,319900
528181050,7132,8,5,2006,2006,24,1370,0,0,2,0,2,1,2,2010,205000
528188120,2628,7,5,2003,2003,0,1626,0,0,2,1,2,1,2,2010,175500
528218150,18494,6,5,2005,2005,0,1324,0,0,2,0,3,1,2,2010,199500
528228285,3203,7,5,2006,2006,16,1145,0,0,2,0,2,1,2,2010,160000
528228440,3182,8,5,2004,2005,24,1269,0,0,2,0,2,1,2,2010,192000
528231020,13300,7,5,2004,2004,326,1374,1,0,2,1,3,1,2,2010,184500
528240070,7851,6,5,2002,2002,625,1960,1,0,2,1,4,1,2,2010,216500
528240130,8577,7,5,2004,2004,0,1733,0,0,2,1,3,1,2,2010,185088
528250100,7750,7,5,2000,2000,250,1430,0,0,2,1,3,1,2,2010,180000
528292020,9505,7,5,2001,2001,0,2035,0,0,2,1,3,1,2,2010,222500
528328100,14774,9,5,1999,1999,0,2599,0,0,2,1,4,1,3,2010,333168
528344070,17433,8,5,1998,1998,0,2475,0,0,2,1,4,1,3,2010,355000
528358010,10593,7,5,1996,1996,919,1720,1,0,2,0,3,1,2,2010,260400
528363130,12256,8,5,1994,1995,1032,2622,1,0,2,1,3,1,2,2010,325000
528382020,11764,8,7,1999,2007,524,2270,0,0,2,1,4,1,3,2010,290000
528382030,16770,7,5,1998,1998,0,1839,0,0,2,1,4,1,2,2010,221000
528386040,14720,8,5,1995,1996,816,3238,1,0,2,1,4,1,3,2010,410000
528445060,8987,8,5,2005,2006,0,1595,0,0,2,0,2,1,3,2010,221500
528456160,9215,7,5,2009,2010,0,1218,0,0,2,0,2,1,2,2010,204500
528458070,8640,7,5,2009,2009,24,1547,0,0,2,1,3,1,2,2010,215200
528458110,9000,8,5,2008,2008,1078,1566,1,0,2,0,3,1,2,2010,262500
528477080,12552,7,5,2004,2005,222,1947,0,0,2,1,3,1,2,2010,254900
528480090,10440,6,5,2005,2005,1414,1468,1,0,2,0,2,1,2,2010,271500
531367050,10142,7,5,2004,2004,656,2084,1,0,2,1,4,1,2,2010,233000
531369060,11920,7,5,2004,2004,0,1659,0,0,2,1,3,1,2,2010,181000
531380080,8880,7,5,1994,2002,695,2110,1,0,2,1,3,1,2,2010,205000
531451110,8012,6,5,1980,1980,543,923,0,0,2,0,2,1,1,2010,143000
531451280,11218,6,5,1992,1992,0,1845,0,0,2,1,3,1,2,2010,189000
531452020,7892,6,5,1979,1979,0,918,0,0,2,0,2,1,1,2010,99500
531452050,7175,6,5,1984,1984,623,752,1,0,1,0,2,1,1,2010,125000
531452180,9453,7,7,1993,2003,402,1744,0,0,2,1,3,1,2,2010,194500
531453010,9672,6,5,1984,1985,338,1097,0,0,2,0,3,1,2,2010,152000
531453040,8400,6,6,1980,1981,0,1564,0,0,2,1,3,1,2,2010,171000
531477050,9800,5,5,1920,1950,0,1012,0,0,1,0,2,1,1,2010,67500
532351140,8930,6,5,1978,1978,0,1902,0,0,2,0,4,2,2,2010,112000
532354090,11782,5,7,1961,1995,899,1155,1,0,1,0,3,1,2,2010,148000
532376160,8450,5,8,1965,2009,553,894,1,0,1,0,3,1,1,2010,138500
532377060,9819,5,5,1967,1967,450,900,0,0,1,0,3,1,1,2010,122000
532377100,7500,5,5,1963,1963,824,1040,1,0,1,1,3,1,1,2010,133000
532378110,6897,5,8,1962,2010,659,1040,1,0,1,1,3,1,1,2010,127000
532479070,15410,6,6,1974,2002,126,1494,1,0,2,0,3,1,2,2010,169000
533130020,10186,7,5,1992,1992,674,1923,1,0,2,1,3,1,2,2010,190000
533130130,13143,8,5,1993,1993,250,2349,1,0,2,1,4,1,3,2010,362500
533130160,11134,8,5,1992,1993,1129,2225,1,0,2,1,4,1,3,2010,285000
533205060,4835,7,5,2004,2005,1298,1488,1,0,2,0,2,1,2,2010,260000
533208090,3515,7,5,2004,2004,0,1680,0,0,2,1,2,1,2,2010,190000
533210060,3215,7,5,2004,2004,280,1200,0,0,2,1,2,1,2,2010,155000
533212010,3182,7,5,2004,2005,0,1200,0,0,2,1,2,1,2,2010,151000
533212020,2544,7,5,2004,2005,368,1200,1,0,2,1,2,1,2,2010,149500
533212060,2544,6,5,2005,2005,376,1236,1,0,2,1,2,1,2,2010,152000
533213030,4403,7,5,2009,2009,578,1478,1,0,2,1,2,1,2,2010,222000
533221090,2117,6,5,2000,2000,378,1573,0,0,2,1,3,1,2,2010,177500
533221110,2980,6,5,2000,2000,466,1512,1,0,2,1,2,1,2,2010,177000
533223020,2572,7,5,1999,1999,604,1416,1,0,2,1,3,1,2,2010,155000
533223100,2403,7,5,2003,2003,244,1080,0,0,2,1,2,1,2,2010,147110
533238045,12853,8,5,2010,2010,1032,1418,1,0,1,1,1,1,3,2010,267916
533244030,7379,8,5,2000,2000,484,1848,1,0,2,1,3,1,2,2010,254000
533253060,4420,8,5,1980,1980,728,788,1,0,1,0,1,1,2,2010,155000
533253210,3880,8,6,1978,1978,1052,1226,1,0,1,0,1,1,2,2010,206000
533352170,13517,6,8,1976,2005,533,1479,0,0,2,1,3,1,2,2010,130500
534102025,8000,7,5,2002,2002,833,1492,1,0,2,0,3,1,2,2010,230000
534129040,10456,6,6,1967,1967,506,1829,1,0,2,0,4,1,2,2010,218500
534151175,10791,6,5,1993,1993,1137,2495,1,0,2,1,4,1,2,2010,243500
534152050,10603,6,7,1977,2001,1200,1610,1,0,2,0,3,1,2,2010,205000
534152070,18837,6,5,1978,1978,687,1891,0,1,3,0,3,1,2,2010,212500
534152100,10421,7,5,1988,1988,394,1714,0,0,2,1,3,1,2,2010,196500
534176060,9360,6,7,1972,2006,982,1381,1,0,1,1,3,1,2,2010,197500
534176230,9600,6,6,1971,1971,329,1645,0,0,1,2,4,1,2,2010,171000
534202160,9600,5,5,1966,1966,698,1232,1,0,1,1,3,1,2,2010,142250
534251320,9790,6,5,1963,1963,569,1328,1,0,1,1,3,1,2,2010,143000
534401110,9900,5,5,1966,1966,1059,1209,1,0,1,0,3,1,2,2010,159000
534401140,9680,5,6,1967,1967,1010,1510,1,0,2,0,3,1,2,2010,178900
534403360,10600,6,5,1964,1964,0,1775,0,0,2,0,3,1,2,2010,136300
534403410,14112,5,7,1964,1964,1014,1152,1,0,1,0,3,1,2,2010,180500
534425310,8800,6,7,1963,1963,763,1054,1,0,1,0,3,1,2,2010,137500
534430080,9717,5,6,1950,1996,49,1078,1,0,1,0,2,1,1,2010,142125
534431050,9724,5,7,1952,2002,670,2461,0,0,2,0,3,1,2,2010,197600
534431070,17360,6,6,1949,1950,300,1556,0,0,2,0,3,1,2,2010,172500
534475100,9920,5,5,1954,1954,354,1063,1,0,1,0,3,1,1,2010,128000
534476260,9600,6,6,1955,1972,674,1520,1,0,1,0,3,1,1,2010,153000
534479320,7800,5,6,1954,1954,540,1268,0,0,1,0,2,1,1,2010,132000
535101020,11380,6,8,1966,2008,944,1128,1,0,1,0,2,1,1,2010,178000
535106190,11600,5,5,1960,1960,443,2274,0,0,2,0,5,2,2,2010,154300
535125010,19900,7,5,1970,1989,912,2207,1,0,2,0,3,1,2,2010,180000
535126040,16492,6,6,1966,2002,247,1888,0,0,2,1,2,1,2,2010,190000
535152010,8267,5,5,1958,1958,0,1604,0,0,2,0,4,2,2,2010,135000
535152050,8197,7,5,2003,2009,1188,1480,1,0,2,0,3,1,2,2010,214000
535152130,8050,5,5,1959,1959,856,1143,1,0,1,0,3,1,1,2010,136000
535152150,10552,5,5,1959,1959,1018,1700,0,1,1,1,4,1,2,2010,165500
535152250,8400,5,6,1957,1957,922,1314,1,0,1,0,3,1,1,2010,145000
535153070,8760,6,6,1959,1959,0,1194,1,0,1,0,3,1,1,2010,148000
535154050,12160,5,5,1959,1959,1000,1188,1,0,1,0,3,1,2,2010,142000
535175070,9300,5,5,1960,1960,697,1264,1,0,1,0,3,1,2,2010,167500
535175180,10725,5,5,1959,1959,936,1206,0,0,1,0,3,1,1,2010,108538
535179020,10032,6,5,1959,1959,734,1580,1,0,1,1,3,1,2,2010,159500
535180130,8382,4,5,1956,1956,0,1337,0,0,1,0,3,1,1,2010,108000
535302080,10950,5,7,1952,1952,339,1064,0,1,1,0,2,1,1,2010,135000
535302200,10895,5,6,1955,1955,648,972,0,0,1,0,3,1,1,2010,122500
535304060,13587,5,5,1958,1958,532,988,1,0,1,0,2,1,1,2010,119000
535304180,7922,5,7,1953,2007,731,1057,1,0,1,0,3,1,1,2010,109000
535325400,7898,4,7,1920,1994,0,985,0,1,1,0,2,1,2,2010,105000
535327140,7200,5,7,1955,2007,0,827,0,0,1,0,2,1,1,2010,107500
535350030,10200,5,7,1954,2003,320,1086,1,0,1,0,3,1,2,2010,144900
535350040,5868,5,7,1956,2000,248,936,1,0,1,0,2,1,1,2010,129000
535353190,17503,6,5,1948,1950,0,1458,0,1,1,0,3,1,1,2010,97500
535377090,6979,6,5,1980,1980,1056,1056,2,0,0,0,0,2,2,2010,144000
535401080,9830,5,7,1959,2006,72,1287,1,0,1,0,3,1,2,2010,162000
535425010,11275,7,7,1967,2007,0,2978,0,0,2,1,5,1,2,2010,242000
535450210,8064,6,8,1948,2004,481,1224,1,0,1,0,3,1,1,2010,132000
535453070,7500,5,7,1959,1994,340,1246,1,0,1,1,3,1,1,2010,154000
535454070,8520,5,4,1952,1952,507,1385,0,0,2,0,4,1,2,2010,166000
535456110,7200,5,7,1951,2000,234,900,0,1,1,0,3,1,2,2010,134800
535457010,10000,6,6,1962,1962,0,1116,0,0,1,1,3,1,2,2010,160000
535457090,7635,5,6,1960,1960,588,1175,0,0,1,1,3,1,2,2010,148000
535476350,9760,6,7,1963,1984,717,1395,1,0,1,0,2,1,2,2010,192000
535477020,7700,6,5,1966,1966,0,1839,0,0,1,1,4,1,2,2010,155000
902102100,4800,4,5,1900,1954,48,1844,1,0,1,0,3,1,1,2010,80400
902106140,8960,5,6,1927,1950,0,1028,0,0,1,0,2,1,2,2010,115000
902110090,5805,5,7,1957,1957,274,1347,1,1,1,0,3,1,2,2010,143000
902125080,5790,3,6,1915,1950,0,1605,0,0,2,0,3,2,1,2010,107400
902125160,4608,4,6,1945,1950,0,747,0,0,1,0,2,1,1,2010,80000
902128170,7200,5,7,1940,1992,510,804,1,0,1,0,2,1,1,2010,119000
902206040,5500,5,7,1929,2001,234,1316,1,0,1,0,3,1,2,2010,130000
902206130,6900,6,7,1938,2000,0,1251,0,0,1,0,3,1,1,2010,119000
902206220,11851,5,7,1948,2009,780,1633,0,0,1,0,3,1,1,2010,129000
902206240,8239,5,6,1920,1962,176,1245,0,0,1,0,3,1,1,2010,100000
902207130,9656,2,2,1923,1970,0,832,0,0,1,0,2,1,2,2010,12789
902207140,8520,6,8,1928,2003,0,720,0,0,1,0,2,1,2,2010,105900
902305110,9600,8,9,1900,2003,0,1566,0,0,2,0,3,1,1,2010,150000
902327040,10800,5,6,1915,1950,686,1652,1,0,2,0,4,1,1,2010,139000
902329030,9000,8,9,1890,2002,0,2268,0,0,3,0,3,1,2,2010,240000
902402010,7407,6,7,1957,1996,600,1236,1,0,1,0,2,1,2,2010,149700
902402130,7740,4,7,1910,1950,0,1363,0,0,1,0,3,1,2,2010,125500
902402250,11340,4,6,1885,1950,0,2290,0,0,2,0,4,2,2,2010,122500
902403070,10560,6,7,1922,1994,283,1470,0,0,1,1,2,1,2,2010,140750
903204040,5830,5,6,1950,1997,788,1612,0,0,1,1,3,1,1,2010,128500
903206120,7793,7,7,1922,2005,474,2068,0,0,1,1,3,1,1,2010,209500
903225150,5000,4,7,1925,1950,188,765,1,0,1,0,2,1,1,2010,87000
903226160,6000,6,7,1939,1950,452,1132,1,0,1,0,2,1,1,2010,134000
903227020,6000,6,6,1940,1950,264,1196,0,1,1,1,3,1,2,2010,128000
903227150,6360,5,6,1942,1950,360,1453,0,0,1,1,3,1,1,2010,132000
903228150,6000,6,7,1948,1950,300,1416,0,0,1,1,3,1,1,2010,139900
903232190,6240,5,7,1936,1980,276,1040,0,0,1,0,2,1,2,2010,123900
903233120,6240,5,5,1930,1950,448,1536,0,0,2,0,4,1,2,2010,138400
903234050,6120,6,5,1923,1950,960,1068,1,0,1,0,2,1,1,2010,109500
903425110,10300,7,6,1921,1950,0,1710,0,0,2,0,3,1,2,2010,140000
903426180,8094,4,5,1915,1950,0,1962,0,0,1,1,4,1,2,2010,149500
903430080,3068,6,8,1920,1993,0,1324,0,1,1,0,3,1,1,2010,122000
903450110,8472,5,5,1963,1963,104,816,1,0,1,0,2,1,2,2010,110000
903476030,7630,5,9,1900,1996,0,1812,0,0,2,0,4,2,2,2010,140000
904100140,24090,7,7,1940,1950,0,2403,0,0,2,0,4,1,1,2010,244400
904101110,15263,5,5,1959,1959,766,1675,0,0,2,0,3,1,1,2010,173000
904300150,10632,5,3,1917,1950,0,1224,0,0,1,1,3,1,1,2010,107500
904350045,6001,6,5,1940,1950,368,919,0,0,1,0,3,1,1,2010,95000
904352190,6048,5,7,1910,1950,736,1680,1,0,2,0,2,2,2,2010,114900
905102060,11625,5,4,1965,1965,841,1039,1,0,1,1,3,1,2,2010,131500
905103060,11341,5,6,1957,1996,1302,1392,1,0,1,1,3,1,2,2010,121500
905104210,8521,5,5,1967,1967,842,912,0,0,1,0,3,1,1,2010,125000
905105070,8246,5,8,1968,2001,188,1060,1,0,1,0,3,1,1,2010,154000
905105200,7800,5,7,1966,2008,240,892,1,0,1,0,3,1,1,2010,137900
905106140,9364,6,7,1969,1969,371,1352,0,0,1,1,4,1,1,2010,158000
905106170,7832,5,5,1968,1968,775,864,1,0,1,0,2,1,1,2010,137250
905107110,7424,5,5,1978,1978,1319,1373,1,0,1,0,3,1,2,2010,160250
905107250,11227,5,5,1968,1968,267,1440,0,0,1,1,4,1,2,2010,163000
905107320,11616,6,5,1978,1978,438,1386,0,0,2,1,3,1,2,2010,158900
905109130,14000,7,5,1996,1997,1201,2260,1,0,2,1,3,1,2,2010,328000
905109170,20062,7,7,1977,2001,1092,1483,1,0,1,1,1,1,2,2010,270000
905201030,9259,4,4,1927,1950,0,756,0,0,1,0,2,1,2,2010,85000
905202090,9600,4,7,1950,1995,442,1067,0,0,2,0,2,1,2,2010,128000
905325030,23595,7,6,1979,1979,1258,1524,2,0,0,1,0,1,2,2010,260000
905352140,17082,6,5,1978,1992,964,1981,1,0,2,1,4,1,2,2010,230000
905378040,18600,3,4,1938,1990,288,1610,0,1,2,0,4,1,1,2010,124000
905426060,10625,5,5,1920,1950,108,835,0,0,1,0,2,1,1,2010,83000
905426200,11479,6,7,1950,1987,104,1074,1,0,1,0,3,1,1,2010,144500
905451320,9571,5,6,1956,1956,739,1144,1,0,1,0,3,1,1,2010,129000
905452110,9350,4,6,1947,1979,192,1531,0,0,1,0,3,1,1,2010,127000
905452160,9525,5,7,1954,1998,954,1172,1,0,1,0,3,1,1,2010,128000
905453040,10420,6,5,2009,2009,36,1212,0,0,2,0,3,1,2,2010,186000
905453080,17485,7,5,2009,2010,1346,1508,1,0,1,0,1,1,2,2010,308030
905475510,11200,5,3,1964,1964,0,1298,0,0,2,0,3,1,2,2010,114000
905478190,11100,4,7,1946,2006,0,930,0,0,1,0,2,1,1,2010,84900
906201030,9206,6,5,1985,1985,0,1732,0,0,2,1,3,1,2,2010,178000
906201120,11980,7,5,1987,1987,1433,1433,1,0,1,1,1,1,2,2010,270000
906204230,12361,6,7,1993,1993,860,1802,0,1,2,1,3,1,4,2010,218000
906223090,9938,7,5,1993,1994,750,1949,1,0,2,1,3,1,2,2010,236000
906225210,9069,6,6,1992,1992,747,996,1,0,1,0,2,1,2,2010,147000
906378100,10475,8,5,2008,2008,0,1694,0,0,2,0,3,1,3,2010,245350
906380190,6762,7,5,2006,2006,686,1208,1,0,2,0,2,1,2,2010,206000
906385010,10402,7,5,2009,2009,0,1226,0,0,2,0,3,1,3,2010,198900
906385020,7360,7,5,2010,2010,24,1222,0,0,2,0,2,1,2,2010,187000
906402200,12376,7,5,1990,1990,1470,3222,1,0,3,0,5,1,3,2010,320000
906425045,14235,6,8,1900,1993,0,1445,0,0,2,0,3,1,2,2010,138500
906477110,8816,6,7,1971,1971,504,1052,1,0,1,0,3,1,2,2010,155000
907125090,11105,5,5,1996,1996,870,965,1,0,1,0,2,1,2,2010,159000
907180050,9337,7,5,1997,1998,353,1692,0,0,2,1,3,1,2,2010,191000
907185060,8750,6,5,1998,1998,505,1682,0,0,2,1,3,1,2,2010,200500
907200280,15240,5,8,1977,2004,198,1026,1,0,1,1,3,1,1,2010,150000
907200290,10900,6,7,1977,1977,378,1392,0,0,1,1,3,1,1,2010,161750
907200340,10650,5,6,1976,1976,182,894,1,0,1,0,3,1,1,2010,128200
907203070,7480,5,6,1972,1972,480,876,1,0,1,0,3,1,2,2010,127000
907250030,10389,8,5,2003,2003,1682,1978,1,0,2,1,3,1,3,2010,318000
907252120,11423,8,5,2001,2002,1358,1601,1,0,2,0,3,1,2,2010,272000
907262050,9548,7,6,2003,2003,483,1829,1,0,2,1,3,1,2,2010,237000
907280040,9375,7,5,1997,1997,0,2098,0,0,2,1,4,1,2,2010,240000
907290040,12137,7,5,1998,1998,0,1661,0,0,2,0,3,1,2,2010,224900
907290170,4435,6,5,2003,2003,672,848,1,0,1,0,1,1,2,2010,143750
907290240,4426,6,5,2004,2004,662,848,1,0,1,0,1,1,2,2010,143000
907401090,10635,8,5,2003,2003,370,1668,1,0,2,0,3,1,2,2010,232000
907410080,8400,7,5,2004,2005,712,1484,1,0,2,0,3,1,2,2010,213000
907414030,8773,7,5,2004,2004,24,1414,0,0,2,0,3,1,2,2010,185500
908102060,8777,3,6,1945,2007,0,640,0,0,1,0,2,1,1,2010,84900
908102110,8842,5,6,1954,1954,0,992,0,0,1,0,3,1,1,2010,155891
908102170,10044,5,6,1968,1968,1070,1196,1,0,1,0,3,1,1,2010,144000
908102300,11792,4,5,1948,1950,0,1120,0,0,1,0,2,1,2,2010,64000
908103350,6305,6,6,1975,1975,528,1096,1,0,1,0,3,1,1,2010,125200
908152080,7819,6,5,1976,1976,422,1117,1,0,1,0,3,1,2,2010,107000
908208020,8546,4,5,2003,2004,0,1121,0,0,2,0,2,1,2,2010,140000
908225320,8741,6,4,1945,1950,94,1487,0,0,1,1,3,1,1,2010,113000
908226130,12180,4,4,1941,1950,348,924,1,0,1,0,2,1,1,2010,80000
908275300,8562,5,6,1957,2002,383,1526,0,0,1,0,4,1,1,2010,144500
909100080,4853,5,6,1924,1999,133,1296,0,0,2,0,2,1,1,2010,104000
909100110,6858,6,4,1915,1950,0,1647,1,0,1,1,4,1,1,2010,128000
909101070,8212,3,3,1914,1950,203,864,1,0,1,0,2,1,1,2010,58500
909176140,5000,5,6,1924,1950,218,1691,0,0,2,0,3,1,1,2010,127000
909176150,7890,6,6,1939,1950,238,856,1,0,1,0,2,1,2,2010,126000
909250060,9638,6,7,1919,1990,0,2447,0,0,2,0,4,1,1,2010,169000
909281080,10452,7,6,1941,1985,426,2133,1,0,1,1,4,1,1,2010,257500
909426080,15600,5,6,1950,1991,375,2177,0,0,2,1,5,2,2,2010,215000
909427230,9042,7,9,1941,2006,275,2340,0,0,2,0,4,1,1,2010,266500
909428280,17500,7,8,1959,2002,1406,1902,1,0,2,0,3,1,2,2010,335000
909452114,19645,7,6,1994,2007,343,1652,1,0,2,1,3,1,2,2010,203135
909455030,3907,8,6,1989,1989,747,1034,1,0,1,0,1,1,2,2010,185000
909455040,3907,8,5,1989,1989,76,1191,0,0,2,0,2,1,2,2010,162500
909475140,15602,7,8,1959,1997,1247,1801,1,0,2,0,1,1,2,2010,289000
910202060,5436,4,8,1922,2007,735,1154,1,0,1,0,3,1,1,2010,125500
910203250,8154,2,5,1941,1950,480,540,0,0,1,0,1,1,1,2010,82000
910205120,9140,6,5,1921,1975,308,1107,0,0,1,0,2,1,1,2010,110000
911128180,7500,4,4,1920,1950,0,1128,0,0,1,0,2,1,2,2010,68400
911202100,8712,4,7,1900,1950,0,1178,0,0,1,0,2,1,1,2010,102776
911204090,8712,5,5,1952,1952,0,1044,0,0,1,0,2,1,2,2010,55993
911204100,8712,4,7,1896,1950,0,952,0,0,1,0,3,1,1,2010,50138
911370510,3811,8,5,2004,2005,1373,1646,1,1,2,0,2,1,2,2010,246000
914467040,11050,8,5,1998,1999,615,1916,1,0,2,1,3,1,3,2010,254900
914475090,9620,6,7,1977,1977,679,1285,0,1,2,0,3,1,2,2010,190000
914476520,9196,7,5,2003,2003,0,1560,0,0,2,0,3,1,2,2010,201000
914478045,12328,6,5,1976,1976,539,1034,1,0,1,0,3,1,3,2010,169900
914478110,12760,6,5,1976,1976,0,2048,0,0,3,0,5,2,2,2010,170000
916125360,57200,5,5,1948,1950,353,1687,1,0,1,0,3,1,2,2010,160000
916386010,11896,7,5,2008,2008,78,1346,1,0,2,0,3,1,3,2010,220000
916386020,9803,7,5,2009,2010,0,1214,0,0,2,0,2,1,2,2010,179781
916386060,9802,5,5,2006,2007,0,1444,0,0,2,1,3,1,2,2010,174000
916386090,12003,8,5,2009,2010,0,1968,0,0,2,1,4,1,3,2010,269500
916455170,11316,7,5,2002,2003,624,1894,1,0,2,1,4,1,2,2010,214900
916475110,14191,8,5,2002,2002,0,1908,0,0,2,1,4,1,2,2010,202900
921128020,13214,9,5,2008,2009,0,2018,0,0,2,0,3,1,3,2010,378500
923201020,15300,5,5,1965,1977,42,1264,1,0,1,0,2,1,2,2010,169000
923202105,10114,5,5,2004,2005,0,1430,0,0,2,0,3,1,2,2010,173500
923205015,11875,5,5,1999,1999,0,1344,0,0,2,0,3,1,2,2010,166500
923225300,1974,4,5,1973,1973,334,1092,0,0,1,1,3,1,1,2010,83500
923225390,2394,5,6,1973,1973,915,945,1,1,1,0,2,1,1,2010,119500
923225440,2592,5,3,1976,1976,129,1112,0,0,1,1,3,1,1,2010,85000
923228370,1890,4,6,1972,1972,294,1092,0,0,1,1,3,1,1,2010,85500
923230190,6953,5,7,1971,2004,469,874,0,0,1,0,3,1,1,2010,130000
923251080,26142,5,7,1962,1962,593,1188,0,0,1,0,3,1,1,2010,157900
923276030,12887,5,7,1984,1984,207,833,1,0,1,0,2,1,2,2010,149900
923276250,7700,5,2,1985,1986,0,2432,0,0,4,2,4,2,2,2010,159000
923426070,10475,5,5,1991,1991,458,1274,0,0,1,1,3,1,2,2010,136000
924100050,10544,5,5,1969,1969,476,1479,0,0,2,0,5,1,1,2010,161000
924151040,9892,8,5,1994,1995,1341,1803,1,1,2,1,3,1,2,2010,285000
924152030,12961,6,5,1993,1994,944,1797,1,0,2,1,3,1,2,2010,231000
526302110,13008,6,5,1956,1956,564,882,0,0,1,0,2,1,1,2009,124500
526351100,10200,6,5,1974,1974,844,1434,1,0,2,0,4,1,2,2009,157000
526355080,13860,8,7,1972,1995,1410,2704,1,0,2,1,4,1,2,2009,345000
527105070,10179,6,5,1997,1997,847,1608,0,0,2,1,3,1,2,2009,189500
527105130,11792,8,5,2003,2003,850,2283,0,0,2,1,4,1,3,2009,270000
527107130,8400,7,5,1996,1997,284,1628,0,0,2,1,3,1,2,2009,189000
527108070,14892,9,5,2006,2007,1320,1746,1,0,2,0,3,1,3,2009,377500
527110020,8530,7,5,1995,1996,0,1474,0,0,2,1,3,1,2,2009,168500
527127100,7296,8,5,2004,2005,1965,2522,1,0,2,0,1,1,2,2009,375000
